row,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64
1,0.04428934806053957,0.042599395998746854,0.03988233562784432,0.036177583402651245,0.031670365461568,0.026759542759019858,0.021741314540575214,0.016758845817597873,0.011884611183346525,0.007114525813532387,0.002415656026599054,-0.0021692950019835304,-0.006645541690376596,-0.01098773679596563,-0.015159162349215844,-0.019128642105505127,-0.022893049310837667,-0.026358204501767013,-0.029896249242992223,-0.03430008123398846,-0.04003050622195338,-0.04655758220475517,-0.05206945520634837,-0.05396380335978017,-0.04977196333000233,-0.03847805619675844,-0.02139869120460202,-0.001852252937679895,0.016101551517424824,0.029072360528384116,0.03552399439478124,0.03588425688931368,0.03160867672078623,0.024320792794447148,0.015693183475776556,0.007036393166257091,-0.0007255309662666829,-0.007174833674383539,-0.012317467955834764,-0.016353700988348166,-0.019534369787961473,-0.02200580392871625,-0.02379501334458428,-0.025060470122204463,-0.025913597353638573,-0.026253241634217942,-0.025853748304485558,-0.024539534889846948,-0.022222371018716887,-0.018876570434969143,-0.014575643601012576,-0.009474012248461988,-0.0037612199478880342,0.0023296163570659485,0.008503448762804578,0.014521214558992364,0.020181732475884104,0.025324885764690587,0.029870635542694254,0.03373252465355585,0.036894192649252734,0.03933404001796009,0.040994981465306155,0.041875396668650686
2,0.042599395998746854,0.04214893088216716,0.04066416117488228,0.038150753517199515,0.034737003542373086,0.030771476584511674,0.026509448154434387,0.022072210495831763,0.01753149929895332,0.012887013560101378,0.008133069403803563,0.0033523552655628282,-0.001423860790880843,-0.006132757470475765,-0.010710677831853654,-0.0151145862898097,-0.019346518361796173,-0.02334408088864677,-0.027441577124199305,-0.032322255202821094,-0.03835193143291457,-0.044986939261376015,-0.05048751919983198,-0.052390253012599766,-0.04837436565719273,-0.03745475303349373,-0.020849580693182275,-0.0017494491439364413,0.0159066829153742,0.028803902129781508,0.03539449401441523,0.036022572983047674,0.03204311779852361,0.024996280140469028,0.016502988181249515,0.007836655094149977,-9.511129400158849e-05,-0.006854601135568706,-0.012395591774017422,-0.01685767152390314,-0.020437745002841828,-0.023254945033305795,-0.025313676385357527,-0.02676560031498924,-0.027741235248275684,-0.028186223895763994,-0.02792813100431933,-0.02682957768166535,-0.024823652186062126,-0.02188080538148681,-0.01804831880863323,-0.01344375056132822,-0.00821880875034629,-0.0025693128179751236,0.0032463948451355662,0.009017162265921743,0.014562628829802443,0.019731960835024938,0.024452785492896135,0.028646336504176646,0.03230582132222443,0.0354172769744745,0.037917503650037265,0.03976398233958002
3,0.03988233562784432,0.04066416117488228,0.0404657142544034,0.039261605395622554,0.037107464319546146,0.03427603138297486,0.03095956902268553,0.02724686280362982,0.023205491782227576,0.0188413654039723,0.014177487917213016,0.009334378157294633,0.00437859393452048,-0.0005926967219918081,-0.005491751493221067,-0.01026649742644623,-0.01492862382069404,-0.019456725490805883,-0.024151713274587892,-0.02958770196002089,-0.03603676844154282,-0.04294379269898584,-0.048635963109410804,-0.05076239135285032,-0.04711227283511346,-0.03670119771713791,-0.020642822417529204,-0.002009344070365658,0.015361828223463736,0.02820980789510267,0.034962207647742806,0.035872082312596615,0.03219763781440458,0.02540764698002705,0.01707431788791221,0.008430101482139213,0.00036282759609938283,-0.006669431741124379,-0.012563911844755932,-0.01739691824009897,-0.021313374778967616,-0.02441103889801222,-0.02667823563505354,-0.028260323764748605,-0.02930411035018002,-0.029800046208956925,-0.02962857452833753,-0.028692454341297885,-0.026950145718211957,-0.02437572228287278,-0.020998397013193823,-0.016906290970282435,-0.012217729386445098,-0.007091821317035599,-0.0017455943951176305,0.0036444017829245926,0.008925514871935668,0.013963769896964174,0.01869949888986061,0.02306661884975485,0.027071631136938713,0.0307122072679828,0.03392529955061373,0.0366359229821164
4,0.036177583402651245,0.038150753517199515,0.039261605395622554,0.03946152788871723,0.038719335433148004,0.03720492867951705,0.035023379732682436,0.032218584385845864,0.028848776227143682,0.024926825984968974,0.020505188646229328,0.01574000390715792,0.01073193778270996,0.005609278913496071,0.00048097802678445867,-0.004594794932193511,-0.009643226985921231,-0.014690555215144181,-0.020010561263412118,-0.02607526713902439,-0.03306980974864461,-0.04043010729898065,-0.046538821025426294,-0.04912094167798625,-0.04602940615224378,-0.03624949419722739,-0.020789736539498435,-0.002620341961661889,0.01449490200703145,0.02731980620437763,0.034250026921225404,0.03544452530579678,0.03206787400183951,0.0255365748266876,0.01737862091143995,0.008778865329717039,0.000604426738363891,-0.006663584151892566,-0.012860539832488006,-0.017998393507346805,-0.02217367915078826,-0.025471012545600108,-0.027871947422328444,-0.02951849861595462,-0.030573122678535222,-0.031068423079810878,-0.030935874874983615,-0.030118787945229115,-0.028601815933097557,-0.026366858355164263,-0.023432129986682974,-0.019864223508513967,-0.01575316328242865,-0.011222861222247632,-0.006445250115262419,-0.0015562362258436503,0.003325776533733929,0.008089931872272652,0.012692819462049226,0.01708386359064581,0.02128477227356755,0.02530727351079894,0.029093459758013654,0.032545259400128215
5,0.031670365461568,0.034737003542373086,0.037107464319546146,0.038719335433148004,0.03945179724994977,0.03935513560864172,0.03843105509944976,0.03666938989302193,0.034112237418544716,0.030778125058617392,0.026747366918202908,0.022207796720220357,0.017291479515066998,0.012152922996981234,0.006917919638817912,0.0016475514920025866,-0.0036996942037721475,-0.009200956919805384,-0.015110133549501567,-0.021810267690233663,-0.029413250315812885,-0.037354038471151124,-0.0440636211633257,-0.04730787131624194,-0.04495396499893932,-0.03592585364253996,-0.021130365966687478,-0.003458165771560086,0.01338082686596415,0.02616243236284163,0.033245084485848175,0.03469621308418873,0.031597963299436004,0.02532823468046235,0.017369097558836505,0.0088524526431148,0.000623340265981968,-0.006814784635916794,-0.01323319571848847,-0.01858149325627145,-0.022915773735106615,-0.026318034045014583,-0.028771822005291527,-0.030418450916096112,-0.03143613719003216,-0.031897173166494805,-0.031779362558675264,-0.031060939767169164,-0.02974927203785582,-0.02783606424098093,-0.025334127966470874,-0.022296052457252427,-0.018789195036859357,-0.01490517348701871,-0.01076926883663128,-0.006473431902156957,-0.002097796949080841,0.0022743278690059705,0.006617611144673706,0.010898731573854807,0.015154866751882882,0.01941259037655165,0.023622750827778385,0.02767226376186121
6,0.026759542759019858,0.030771476584511674,0.03427603138297486,0.03720492867951705,0.03935513560864172,0.04065836931651639,0.04101017730449685,0.040342921743629225,0.038677634142954165,0.03603358638758246,0.0325128989015585,0.028327357455783,0.02363408780921592,0.018607164769677165,0.013383561782212255,0.008024081500675576,0.002470544531689516,-0.003402756527791983,-0.009835386384831946,-0.017137199530349187,-0.025364004223742014,-0.03395686706988549,-0.04138473572583716,-0.04542147010345387,-0.043907874616426326,-0.03568744212362818,-0.021573122760359234,-0.004399832840901402,0.012153669218823635,0.024866949909870407,0.03206252634892891,0.03372487689148236,0.030870237474197208,0.024849499048435822,0.017100489714746106,0.008700799683059712,0.00047304465100019976,-0.007059071949066356,-0.013607416980113304,-0.019066693073566444,-0.023464178422475807,-0.026889639619136374,-0.029333083240898672,-0.030935642311043732,-0.03188918684664648,-0.032300954106737154,-0.03218797353732755,-0.03155654613712826,-0.030431521162154685,-0.028815045445952474,-0.026718581459119164,-0.024186813630557902,-0.021270477774750947,-0.018034014299923046,-0.014558422355005977,-0.010892485523020922,-0.0070778628442237975,-0.003168377427460989,0.0008292178836188185,0.004899385202860404,0.009094490629362368,0.013455694051389279,0.017944442557214,0.022439856127871374
7,0.021741314540575214,0.026509448154434387,0.03095956902268553,0.035023379732682436,0.03843105509944976,0.04101017730449685,0.042562055747587174,0.04296668917110909,0.042220501459313574,0.04033687034942875,0.037428977037835647,0.03372073481477981,0.02938514650193709,0.024607448482180654,0.01952929021277218,0.014207387553249545,0.008566074314753237,0.0024343134767859645,-0.004417645234950732,-0.012241193245669316,-0.021053880323412003,-0.03031416699093975,-0.03852692699658835,-0.04345171160396966,-0.04286559638164783,-0.03550484769588069,-0.02208853012033237,-0.005413468941786383,0.010853163613515026,0.023482848484845255,0.030762649841237215,0.032600581997548436,0.029956195016832443,0.024166286560216486,0.016631671375732807,0.008377915278818076,0.00020779308865168092,-0.007336664988856401,-0.013916461238199968,-0.019384155642482206,-0.02375061749457988,-0.027121346243547423,-0.029496657018224123,-0.03101773691568296,-0.031888592587664306,-0.03224602050950939,-0.03213778756355126,-0.03159055006916547,-0.030641430842390266,-0.029301228517892033,-0.02758157012488766,-0.025522055009119058,-0.023161662223383638,-0.02054324744168986,-0.01770884457575276,-0.01466873997036595,-0.01142930437991959,-0.008015548208076777,-0.004416834814375194,-0.0006309369672577019,0.003408076414902777,0.007754200193315227,0.012380366335304902,0.017163779704773768
8,0.016758845817597873,0.022072210495831763,0.02724686280362982,0.032218584385845864,0.03666938989302193,0.040342921743629225,0.04296668917110909,0.044380659682378434,0.04455662140080895,0.04349619902756169,0.04131128447015732,0.0382213641528591,0.03440169293419031,0.03003737161041565,0.02526655239294976,0.02013804121455086,0.01455897360172456,0.008317323208833369,0.001186373524846936,-0.0070458093632301075,-0.016380524700090143,-0.026305319408381173,-0.03535815337608107,-0.041266601469537825,-0.04171202359633196,-0.03529417535252616,-0.022630372584045096,-0.006486586541323365,0.009470234520742119,0.02199603069685673,0.029333575788386725,0.03131362009102107,0.028847639724970953,0.023267483604848958,0.01594536018532461,0.00785999214166849,-0.0002006955620015786,-0.007676318471809948,-0.014187617168593809,-0.01955861477650227,-0.023795456304029322,-0.02702674983049804,-0.02926910683838929,-0.03066565228724731,-0.031431455320413304,-0.03172850679443362,-0.031627569972570185,-0.031168290922083168,-0.03039383768451235,-0.029320804818908718,-0.027959421064190308,-0.026343914311854774,-0.024503458902834986,-0.02246428634091923,-0.02023637605954526,-0.017798238463902577,-0.015126492093464946,-0.012219767053598382,-0.009052152911280913,-0.0056042438391206255,-0.0017993302000340015,0.0024264793214865904,0.007057196756562578,0.011972350020474488
9,0.011884611183346525,0.01753149929895332,0.023205491782227576,0.028848776227143682,0.034112237418544716,0.038677634142954165,0.042220501459313574,0.04455662140080895,0.0456400188581817,0.045461328609922705,0.04411945508065991,0.04180815077937112,0.038684078447981995,0.0349156794412257,0.030627408429730177,0.02585582594950007,0.020491297002369516,0.01428500842392599,0.007008380105607563,-0.0015280643491051705,-0.01132882585994285,-0.021919441059998518,-0.031864186445367204,-0.03883643997143989,-0.04039434851722273,-0.034993849348576765,-0.0231585918305859,-0.007610580519865438,0.007999355361921225,0.020409431607014243,0.027794532549510816,0.029896291515093924,0.02758519500887338,0.022195155326388286,0.01507545545728277,0.007164194036500031,-0.0007560399174310079,-0.008101081876504507,-0.014457405053587622,-0.01963413264690607,-0.02364689247301898,-0.026655675762174168,-0.028701080615575456,-0.029931685054777807,-0.03057178029275147,-0.030803379912774792,-0.030713849808975596,-0.030349708410337142,-0.029754231405702394,-0.028946011957213455,-0.02793060435884402,-0.026733801279651158,-0.025375066522570943,-0.02386892356409952,-0.02220116895742805,-0.020326452477499115,-0.018197709704676716,-0.0157898029482032,-0.013064363068762878,-0.009986844601905456,-0.006474298616847882,-0.002457347769513475,0.00205662587395698,0.006953426181526681
10,0.007114525813532387,0.012887013560101378,0.0188413654039723,0.024926825984968974,0.030778125058617392,0.03603358638758246,0.04033687034942875,0.04349619902756169,0.045461328609922705,0.04622318122294787,0.045860795671384444,0.044518035840467304,0.042306947695516156,0.03935696581702347,0.03576476927386825,0.03154856248879276,0.02658251224200657,0.020585622447912524,0.01332155807877025,0.004604097838230796,-0.005598167411296347,-0.016862510420155317,-0.0277781721708259,-0.035941959917231425,-0.038754924631285936,-0.03451744571705097,-0.023657072828367105,-0.008815385492036566,0.006390636953229156,0.018666715278923263,0.026089213578308477,0.028297424916893806,0.026124158633826527,0.020903720357777503,0.013968813381569651,0.006225367842763252,-0.001538560317834487,-0.008706368973447808,-0.014833601251088298,-0.01972454884389621,-0.023417328953113076,-0.02611391503484148,-0.027888889770624765,-0.02890219739174283,-0.02938754157372836,-0.02954205232712299,-0.029462895571424168,-0.02919916523468353,-0.02878893214485445,-0.028249068134532835,-0.02757664065851363,-0.026784899533992816,-0.025881830751373833,-0.024873148758255047,-0.023726383346450674,-0.022379036315522436,-0.02076622640770332,-0.018841667145619315,-0.016558730403002958,-0.013871126671971198,-0.010695675391920283,-0.006963305794494005,-0.002676359497247175,0.002060795031351508
