row,z01,z02,z03,z04,z05,z06,z07,z08
1,-0.09021935958654922,-0.04100794757925768,0.13280839209049203,-0.019847404029638444,-0.18848109795522258,-0.05661117171787875,-0.08390814951858336,-0.02808657856144708
2,-0.08672340715507876,-0.058462965957468443,0.12423418233844385,0.007162688835743128,-0.16696987341271002,-0.07745989662147199,-0.11188800277048605,-0.031083354354655857
3,-0.08254826653718556,-0.07564665347436131,0.11096502245716433,0.033331549324713695,-0.13925953936773422,-0.09201041876640488,-0.13813681799016847,-0.037042601242441076
4,-0.07774037373480072,-0.09245098475632763,0.09303526554731564,0.05836100205769962,-0.10621618237745611,-0.09955151330414594,-0.16202753359127284,-0.04570177117007726
5,-0.07219747685685005,-0.10815911445620996,0.07136059542120131,0.08119777266725348,-0.07035742481468583,-0.10006604119700792,-0.1812245069127669,-0.05539682966088407
6,-0.0662945532665005,-0.1220075544437202,0.047849698058125154,0.10093219405718676,-0.034505068353242116,-0.0945886913103252,-0.19404107222021721,-0.06489124573483515
7,-0.06022415019538012,-0.1333263645721381,0.02379043218326289,0.11647949535017264,-0.0011649614091717021,-0.08457714594577063,-0.19856600525229445,-0.07248772035668485
8,-0.053895813267371875,-0.14199703632068628,-0.00045227642466681706,0.1270094544229847,0.027833688259126903,-0.07031946806331091,-0.19396966900601514,-0.077434058249203
9,-0.04730071181088989,-0.14821392764377814,-0.02465551800395524,0.13233687991866175,0.05183854743569713,-0.05196355490618197,-0.1798948241366442,-0.07944897293220905
10,-0.0401459452771768,-0.15246417091807,-0.04927336880793454,0.13186594884574002,0.06988395752062483,-0.029135135615176284,-0.15655845149942932,-0.07896348357456029
11,-0.03224420131849647,-0.15501925779105968,-0.07455841109536127,0.12572628312758896,0.08166222816321252,-0.00227499723508736,-0.12558888794033654,-0.07680504661314402
12,-0.02343933488808427,-0.15607540823504235,-0.10007632575038589,0.11460426364752274,0.08666499890430629,0.02704042181716909,-0.089652522049658,-0.07421595709757521
13,-0.01344237510171159,-0.1556784502708053,-0.1254476672878397,0.09920712062679257,0.08457916431599802,0.05728898164631755,-0.051152116153479296,-0.07234872194293457
14,-0.002225143041889089,-0.1538929962088868,-0.14984876642758443,0.08022976615355439,0.07603591261197572,0.08575878321442286,-0.011583043412067423,-0.07094424111552114
15,0.010311459815589674,-0.15085785018234582,-0.17226652382754834,0.058214626836024,0.06174871328071084,0.10995999541954311,0.028338347970300805,-0.06920562156612153
16,0.024592933248790156,-0.14666928175252783,-0.19180361646386848,0.03282989140574671,0.04155864187158455,0.12757289437777786,0.06707742459756241,-0.06601980907300167
17,0.0417667516464603,-0.14117705352518195,-0.20783900638392533,0.0025126407456968203,0.01326800388395323,0.13630374982975363,0.10085403019450279,-0.06106117267220473
18,0.06408974380585443,-0.1341485336232918,-0.21894750144698194,-0.036017195789913886,-0.028083736542553972,0.13274997222793655,0.12228448546091555,-0.05640526196926094
19,0.09424073705896917,-0.125109598095959,-0.22232184109693814,-0.08333331423206324,-0.08081792392970918,0.11076731522678648,0.12817284685501668,-0.050762518944406795
20,0.13519693339905609,-0.11309002753542077,-0.2123353546392914,-0.13612086361597228,-0.13382117919920095,0.06266168262281267,0.11836561359245601,-0.03964997450424476
21,0.1890515377543131,-0.09689234573839808,-0.17953919837866997,-0.18721393146924353,-0.17010828653232576,-0.013977557604502993,0.08959528867689795,-0.020182971327864167
22,0.25402598196821125,-0.07583301565255951,-0.11382529306141984,-0.2239081340300931,-0.17160174695665406,-0.104888413866916,0.037172757360351555,0.005959855204898567
23,0.3202119714647202,-0.051274211886561484,-0.011917147895462457,-0.2278604304660232,-0.12489884675751335,-0.17165632456382315,-0.03370280243024398,0.03133831478023613
24,0.36825733661722915,-0.02676115152309718,0.11296564565173317,-0.1820563426616209,-0.032682471440135086,-0.16383183889120287,-0.09559897819040834,0.04251924356253779
25,0.3759545773212964,-0.007608900351114292,0.2296666633257723,-0.0865563673996734,0.07139825626456482,-0.05409503573925862,-0.11224229170730723,0.03128664834015537
26,0.32893113941859853,0.0009144113160320377,0.3001477987187,0.031153250098039972,0.13531634507233747,0.1261615078334959,-0.07131075629804526,0.015622939541377813
27,0.2307539309894756,-0.0036630335756467625,0.3015190434371212,0.1254427941191121,0.12749894133248207,0.2964585162038629,0.0005861429250279132,0.02680909449940997
