row,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64
1,0.04428934895978308,0.04259939434936363,0.03988233519537125,0.03617758534782653,0.03167036612277596,0.026759540989359974,0.021741313126951538,0.01675884722511677,0.01188461362395718,0.007114524162433269,0.0024156540031004983,-0.0021692941055750847,-0.006645539272437989,-0.01098773899572875,-0.015159162358565799,-0.019128641291031114,-0.022893049574155357,-0.02635820481216061,-0.029896248820167014,-0.0343000814790353,-0.0400305061514415,-0.04655758220910805,-0.05206945522100745,-0.05396380334798234,-0.049771963299692176,-0.038478056316669486,-0.02139869095484194,-0.001852253317242873,0.01610155197720989,0.029072360068336706,0.035523994751578095,0.0358842567552226,0.03160867656645971,0.024320793151836377,0.01569318312869954,0.007036393311088656,-0.0007255308679379985,-0.007174833882020347,-0.012317467791321727,-0.01635370109104773,-0.019534369744062703,-0.022005803841780636,-0.023795013690743782,-0.025060469399128506,-0.025913598474874927,-0.026253240209193052,-0.025853749785754776,-0.02453953383693197,-0.022222371065524008,-0.018876571465081513,-0.014575642387152811,-0.009474012683117435,-0.0037612198717508817,0.002329615786764269,0.008503449024725352,0.014521215679229258,0.0201817313255737,0.025324885128580672,0.029870636524718153,0.03373252589339177,0.0368941905630807,0.03933403963909604,0.04099498341743293,0.041875395815203144
2,0.04259939434936363,0.04214893425637524,0.04066416095529231,0.03815075070158054,0.03473700295986113,0.030771478727335128,0.026509450836897964,0.022072207995616572,0.017531495880144774,0.012887015415559451,0.00813307315056436,0.0033523542917507578,-0.0014238660048974633,-0.006132752723204357,-0.010710678124132945,-0.015114587958932701,-0.01934651754596348,-0.02334408058370447,-0.02744157773484281,-0.03232225483853545,-0.03835193150393236,-0.044986939340742965,-0.05048751903941006,-0.05239025319410732,-0.048374365572739435,-0.037454752866653,-0.020849581254740696,-0.0017494481505011057,0.015906681614558455,0.028803903466705808,0.035394493023406005,0.03602257326407533,0.03204311831568897,0.024996279172666187,0.016502989039224508,0.00783665472866609,-9.511142578215654e-05,-0.00685460084026024,-0.012395591932544348,-0.016857671460428946,-0.02043774507462122,-0.023254945041895708,-0.025313676040579117,-0.026765601283902467,-0.027741233491446422,-0.028186226427261804,-0.027928128062593743,-0.02682958000293086,-0.024823651893957435,-0.02188080329309902,-0.018048321464068446,-0.013443749506214929,-0.008218808751176969,-0.002569312059324542,0.00324639417944697,0.009017161096221872,0.01456263020224491,0.019731961511220884,0.02445278492666708,0.02864633392248324,0.032305824420298404,0.03541727798204976,0.03791750038571648,0.0397639837174465
3,0.03988233519537125,0.04066416095529231,0.04046571750837849,0.03926160188588983,0.037107462841399236,0.034276034662427055,0.030959570193901116,0.02724686122595688,0.023205488101817346,0.018841369110017967,0.014177489104962684,0.009334375820533347,0.004378594727382995,-0.000592697510507518,-0.005491750564597667,-0.010266497378086856,-0.014928624772457984,-0.019456724316406014,-0.02415171421718695,-0.029587701407046408,-0.036036768747987225,-0.04294379241135779,-0.048635963472338305,-0.050762390937452856,-0.04711227321432547,-0.036701197515852116,-0.020642822286757963,-0.002009344628065277,0.015361829147502644,0.028209806884254993,0.034962208306124176,0.03587208231315177,0.032197637275036425,0.02540764761391441,0.017074317476796476,0.008430101701975657,0.0003628273556448999,-0.006669431333619939,-0.012563912362805402,-0.017396917834738908,-0.02131337482491136,-0.02441103936083116,-0.026678234634046692,-0.02826032519658728,-0.029304108786673905,-0.029800047447520683,-0.029628573996414963,-0.02869245421060047,-0.026950146004466925,-0.02437572233784155,-0.020998396538937373,-0.016906291429012087,-0.01221772972932986,-0.0070918203270565515,-0.0017455939876435786,0.003644398782783476,0.008925517530140856,0.013963771395313934,0.018699495223959146,0.023066619007957256,0.027071634041348602,0.03071220677193346,0.03392529761758997,0.036635923944706425
4,0.03617758534782654,0.03815075070158054,0.03926160188588983,0.039461535244478964,0.03871933548488413,0.03720492562627176,0.035023373991151185,0.03221859002072556,0.028848781724396148,0.02492682165748608,0.02050518337875609,0.01574000677643993,0.010731942904442711,0.005609274448591658,0.00048097755667319533,-0.00459479342599016,-0.00964322643479842,-0.01469055738558243,-0.02001055898324279,-0.026075268647978347,-0.03306980899568248,-0.04043010765824673,-0.046538820841947444,-0.049120941800020995,-0.046029405981999665,-0.0362494945173773,-0.020789735995765425,-0.0026203427125523478,0.014494902867545742,0.027319805347734944,0.0342500276392228,0.03544452494185308,0.03206787382357317,0.025536575445914565,0.017378620289010265,0.008778865484904853,0.0006044272135186874,-0.00666358495788616,-0.012860539146189582,-0.017998393907672897,-0.02217367910121364,-0.025471012023761994,-0.027871948859854997,-0.029518496011770794,-0.03057312637213375,-0.031068418708945198,-0.030935879184068597,-0.030118784814578806,-0.02860181676925648,-0.026366859748796295,-0.02343212834706335,-0.01986422369262113,-0.015753162993881808,-0.011222863294738258,-0.006445249408758914,-0.0015562325108920965,0.003325772686185658,0.008089930595709139,0.012692821920138923,0.017083866720305648,0.021284767324907534,0.025307271876410426,0.029093465202346146,0.032545257106393215
5,0.03167036612277596,0.03473700295986113,0.037107462841399236,0.03871933548488413,0.039451803994323686,0.039355126300308595,0.03843105960471354,0.03666938676150113,0.03411224464924152,0.0307781188172204,0.026747366941722188,0.02220779976649889,0.017291476734515285,0.012152925377285224,0.006917918230774928,0.0016475517603845911,-0.0036996944952082003,-0.009200956025771477,-0.015110134767691647,-0.0218102665047385,-0.02941325111415216,-0.03735403827762525,-0.044063620821144116,-0.04730787196242593,-0.044953964347373136,-0.03592585392919189,-0.021130366411838308,-0.0034581643999843964,0.013380824713739936,0.0261624347201356,0.03324508283302586,0.0346962133231987,0.03159796432716761,0.025328233316787862,0.017369098424160005,0.008852452431377805,0.0006233401500601576,-0.006814784647884735,-0.013233195350178613,-0.018581493748649747,-0.02291577354561175,-0.02631803376411129,-0.02877182261402852,-0.0304184502634095,-0.03143613748578715,-0.031897173752368266,-0.03177936075287672,-0.0310609424346015,-0.02974926944807213,-0.02783606619953527,-0.02533412644149466,-0.02229605364524995,-0.018789194501023673,-0.014905173009672739,-0.010769270996802856,-0.0064734279158091615,-0.0020977995133769547,0.0022743240090838035,0.006617619063698333,0.01089872943632458,0.015154861665118027,0.01941259367687765,0.023622751825518495,0.02767226282400514
6,0.026759540989359967,0.030771478727335128,0.034276034662427055,0.03720492562627176,0.039355126300308595,0.0406583837438123,0.04101017267539628,0.04034292444625403,0.03867762171518914,0.03603359678009797,0.032512900602002195,0.028327353007060872,0.02363408863412182,0.018607163762799354,0.013383563905364512,0.008024080272846032,0.0024705450734800703,-0.0034027571992289096,-0.009835385464634883,-0.01713720059307413,-0.02536400342283912,-0.03395686722421052,-0.04138473619920915,-0.04542146925633336,-0.04390787550157395,-0.03568744163172101,-0.021573122420976174,-0.004399834269309624,0.012153671601411835,0.024866947247580946,0.03206252818687933,0.033724876703133455,0.03087023627411607,0.02484950048677315,0.01710048893411015,0.008700799780003377,0.00047304476389775825,-0.007059071780754163,-0.013607417579493858,-0.019066692407927528,-0.02346417854222987,-0.026889640384210687,-0.029333081629196348,-0.030935644471214586,-0.03188918476373841,-0.032300955170608436,-0.03218797428747214,-0.03155654362557517,-0.030431524563791335,-0.028815041947243828,-0.026718584554395977,-0.024186811464221747,-0.021270479057618294,-0.018034014140528937,-0.01455841913662306,-0.010892492747478184,-0.007077858244301853,-0.0031683714906728493,0.0008292070303293464,0.004899386065876845,0.009094498862115741,0.013455691703717089,0.01794443805242129,0.02243985855591464
7,0.021741313126951545,0.026509450836897964,0.030959570193901116,0.035023373991151185,0.03843105960471354,0.04101017267539628,0.042562065623956945,0.042966680524621194,0.042220502465810356,0.04033686886859645,0.037428983475227155,0.033720732531716625,0.02938514084007083,0.024607454275392023,0.019529289410175708,0.014207386542629968,0.008566073244749972,0.002434316454676131,-0.004417648241822935,-0.01224119122103037,-0.021053881349021634,-0.030314166651940734,-0.038526926902511326,-0.04345171190788828,-0.0428655961401537,-0.035504847548944576,-0.022088530958042956,-0.005413467300278799,0.010853161341059304,0.02348285091541633,0.030762647992984,0.03260058256766387,0.029956195814443354,0.02416628511605424,0.01663167247197562,0.008377915136616593,0.00020779231534814768,-0.0073366639559397364,-0.013916461890236301,-0.019384155323073794,-0.023750617823470453,-0.027121345903396724,-0.029496656957129788,-0.031017737948573113,-0.031888590084952755,-0.03224602480415658,-0.03213778179277131,-0.03159055565977092,-0.030641427883841207,-0.029301228096107957,-0.027581571396137473,-0.02552205569433077,-0.02316166097677444,-0.02054324593278165,-0.017708847641125396,-0.014668739535602219,-0.011429302167186309,-0.008015549956988981,-0.004416833478731522,-0.0006309397995709047,0.0034080793144598675,0.007754200300436222,0.012380364303520491,0.017163780647672707
8,0.01675884722511677,0.022072207995616572,0.027246861225956882,0.03221859002072556,0.036669386761501124,0.04034292444625403,0.042966680524621194,0.04438066768571974,0.04455662105511075,0.04349620017503953,0.041311277695447166,0.03822136719611955,0.03440169753017618,0.030037366913968983,0.025266552729946434,0.02013804195266567,0.014558975119931431,0.00831732001880905,0.0011863764703410665,-0.007045811175270654,-0.016380523878970918,-0.026305319651544937,-0.035358153448774146,-0.04126660126226125,-0.04171202372999135,-0.03529417553772501,-0.022630371855586577,-0.006486587886632698,0.00947023633939683,0.021996028762788708,0.02933357728488919,0.03131361956828464,0.02884763916941756,0.023267484713925465,0.01594535930896091,0.007859992247565986,-0.00020069486982436286,-0.007676319432340125,-0.01418761650837241,-0.019558615139226146,-0.02379545597147393,-0.027026750119753026,-0.02926910698499023,-0.030665651153250286,-0.03143145792669538,-0.03172850242346851,-0.03162757572372076,-0.031168285543435783,-0.03039384011232598,-0.029320806248824292,-0.027959418333655964,-0.026343914979097587,-0.02450345979367245,-0.02246428683808784,-0.020236374727537903,-0.0177982375204103,-0.015126494569127995,-0.012219766415263714,-0.009052152619328126,-0.005604241397501741,-0.001799334080676573,0.002426479869727345,0.007057198949051334,0.011972348901743353
9,0.01188461362395718,0.017531495880144774,0.023205488101817346,0.028848781724396148,0.034112244649241515,0.03867762171518914,0.04222050246581035,0.04455662105511074,0.045640033017190725,0.04546131588154837,0.0441194534953455,0.04180815439864317,0.03868408104972961,0.034915677260089116,0.030627406685353836,0.025855828703205956,0.020491295114906362,0.014285009415946157,0.007008379625754417,-0.0015280639686536689,-0.01132882609454025,-0.021919441240423398,-0.03186418584665356,-0.038836440811295586,-0.04039434766631404,-0.03499384989864316,-0.023158591916625105,-0.007610579575905436,0.007999353644877668,0.02040943355789736,0.02779453124955248,0.029896291567989598,0.027585195895527444,0.022195154420012467,0.01507545585205587,0.0071641939402304865,-0.000756039660539054,-0.008101082526758617,-0.01445740410907189,-0.01963413350600797,-0.023646892267955785,-0.0266556749152234,-0.028701082555952218,-0.029931682306018774,-0.030571783117982216,-0.030803378114984563,-0.0307138497117674,-0.030349710246216462,-0.029754229030337122,-0.028946013506165113,-0.027930604492051512,-0.026733799980700888,-0.025375066321652606,-0.023868926438205495,-0.02220116814836161,-0.020326446946912127,-0.01819771514377332,-0.01578980754164872,-0.013064353281778586,-0.009986844821480918,-0.006474306392948003,-0.0024573470248527175,0.002056631819249641,0.006953423317628256
10,0.007114524162433269,0.012887015415559446,0.018841369110017967,0.02492682165748608,0.030778118817220392,0.03603359678009797,0.04033686886859645,0.04349620017503953,0.04546131588154838,0.04622319402456056,0.045860794311892474,0.044518033287224264,0.04230694743913828,0.039356965704482924,0.03576477154848405,0.03154855981605249,0.02658251435066847,0.020585621026322783,0.013321558887388495,0.004604097353152102,-0.005598167234122837,-0.01686251010662127,-0.02777817294783452,-0.035941958892273675,-0.03875492559474914,-0.034517445235699946,-0.023657072383278095,-0.008815387122435339,0.00639063959516664,0.018666712375445864,0.026089215563796574,0.028297424707772648,0.02612415733428573,0.020903721974601455,0.013968812351530682,0.006225368309314591,-0.0015385607344554763,-0.008706368198045872,-0.014833602392640165,-0.01972454777738261,-0.02341732931050301,-0.02611391571799486,-0.02788888818563226,-0.02890219941277729,-0.02938753992232745,-0.02954205257283855,-0.02946289730499953,-0.0291991623204875,-0.02878893423839852,-0.02824906845451557,-0.027576637997600014,-0.0267849027816246,-0.025881829758133173,-0.024873146497900567,-0.023726384717144243,-0.02237904027923806,-0.020766221813642568,-0.01884166280879343,-0.016558741012567227,-0.013871123624610607,-0.01069566985894095,-0.006963307166598728,-0.0026763636118659903,0.002060797159393123
